date,postId,source,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url,total_views,average_order,seen_by,visible
2019-05-14 18:10:00+00:00,2753928014623053,eldiario.es,"¿Quién debe sentarse en el metro: un chico con muletas, una mujer embarazada o una persona mayor? 'Siéntese', el microteatro que arrasa en redes 👇",86.0,60.0,14.0,10.0,1.0,1.0,0.0,10.0,/story.php?story_fbid=2753928014623053&id=417471918268686,0.0,0.0,0.0,no
2019-05-14 18:20:00+00:00,10158930067509896,ABC.es,"⚠Aviso, esta noticia contiene spoilers de Juego de Tronos⚠",7.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,/story.php?story_fbid=10158930067509896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 18:35:00+00:00,10158930106794896,ABC.es,El secretario general de Unidas Podemos cambia su agenda y finalmente el sábado estará en Sevilla tras la fría acogida en Cádiz del anuncio de su visita,44.0,9.0,33.0,1.0,1.0,0.0,0.0,12.0,/story.php?story_fbid=10158930106794896&id=7377874895,4.0,40.5,1.0,yes
2019-05-14 18:40:00+00:00,2753978661284655,eldiario.es,Los jóvenes investigadores están en pie de guerra por una regulación que permite reducir su sueldo.,174.0,57.0,1.0,0.0,13.0,3.0,100.0,12.0,/story.php?story_fbid=2753978661284655&id=417471918268686,3.0,49.0,1.0,yes
2019-05-14 18:40:00+00:00,2753974127951775,eldiario.es,El candidato de Ciudadanos a la Junta de Extremadura declarará como investigado por un delito de falso testimonio.,199.0,69.0,90.0,2.0,6.0,2.0,30.0,29.0,/story.php?story_fbid=2753974127951775&id=417471918268686,5.0,27.4,2.0,yes
2019-05-14 18:50:00+00:00,10158930145439896,ABC.es,"El 24 de septiembre de 1940, 83 bombarderos franceses aparecían por sorpresa sobre el Peñón y realizaban un «intenso» ataque seguido con horror por los gaditanos",80.0,54.0,1.0,0.0,18.0,6.0,1.0,5.0,/story.php?story_fbid=10158930145439896&id=7377874895,4.0,23.5,2.0,yes
2019-05-14 19:10:00+00:00,2753984504617404,eldiario.es,"Todo un éxito: en apenas 15 años, el lince ibérico ha pasado de 90 a 700 ejemplares en la Península.",2580.0,1790.0,0.0,782.0,6.0,2.0,0.0,55.0,/story.php?story_fbid=2753984504617404&id=417471918268686,4.0,34.0,1.0,yes
2019-05-14 19:20:00+00:00,10158930217304896,ABC.es,Efectivos de los cuerpos de seguridad accedieron al edificio en busca de un supuesto explosivo y bloquearon el acceso a los diputados. Juan Guaidó denuncia el intento de «secuestro» de la Asamblea,21.0,5.0,2.0,0.0,1.0,1.0,12.0,8.0,/story.php?story_fbid=10158930217304896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 19:30:00+00:00,10158930249489896,ABC.es,Ya está disponible la primera edición de ABC del miércoles 15 de mayo en Kiosko y Más ,191.0,48.0,22.0,5.0,5.0,5.0,106.0,85.0,/ABCes/photos/a.244549769895/10158930249489896,2.0,39.0,1.0,yes
2019-05-14 19:40:00+00:00,2753987041283817,eldiario.es,"""Creo que la posición de la Iglesia es abusiva"". Andrew Foreshew-Cain, el reverendo que dejó el sacerdocio tras casarse con su marido.",105.0,87.0,1.0,14.0,1.0,0.0,2.0,9.0,/story.php?story_fbid=2753987041283817&id=417471918268686,9.0,25.333333333333332,2.0,yes
2019-05-14 19:50:00+00:00,10158930292314896,ABC.es,Los responsables de redes de los dos gigantes de la distribución comercial protagonizan un cruce de mensajes inédito,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,/story.php?story_fbid=10158930292314896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 19:50:00+00:00,10158928236669896,ABC.es,Muchos conductores se piensan que con el coche parado utilizar el teléfono es legal.,45.0,26.0,1.0,1.0,12.0,0.0,5.0,17.0,/story.php?story_fbid=10158928236669896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 20:20:00+00:00,10158928405159896,ABC.es,"Douglas Pitt lleva un «sencillo» estilo de vida, alejado de los focos, las cámaras y el glamour que implica la vida de estrella de cine que sí lleva su hermano.",9.0,5.0,1.0,0.0,3.0,0.0,0.0,1.0,/story.php?story_fbid=10158928405159896&id=7377874895,1.0,43.0,1.0,yes
2019-05-14 21:20:00+00:00,10158928379809896,ABC.es,Una investigación en ratones demuestra que pueden conducir al aumento de peso y reducir el tiempo de vida en ratones.,32.0,18.0,5.0,0.0,8.0,1.0,0.0,13.0,/story.php?story_fbid=10158928379809896&id=7377874895,1.0,40.0,1.0,yes
2019-05-14 22:20:00+00:00,10158928385269896,ABC.es,"La empresa minera Southern Peaks tiene «malos» antecedentes en Quiruvilca, donde provocó «altos niveles de contaminación».",96.0,27.0,1.0,0.0,21.0,8.0,39.0,6.0,/story.php?story_fbid=10158928385269896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 23:20:00+00:00,10158928399359896,ABC.es,Fernando De Baere acudió a la casa de un vecino en Florida y le dijo que acababa de matar a su esposa.,65.0,10.0,2.0,0.0,10.0,5.0,39.0,24.0,/story.php?story_fbid=10158928399359896&id=7377874895,1.0,42.0,1.0,yes
2019-05-14 23:50:01+00:00,10158930865914896,ABC.es,"Varias simulaciones permiten comprobar qué ocurriría, en función factores como el tamaño o la velocidad. Los astrónomos están centrados ahora en buscar asteroides de decenas de metros, capaces de dañar ciudades.",38.0,19.0,14.0,0.0,5.0,0.0,0.0,48.0,/story.php?story_fbid=10158930865914896&id=7377874895,1.0,38.0,1.0,yes
2019-05-15 00:20:00+00:00,10158930928524896,ABC.es,"Así lo denuncia el colectivo, que exige a la administración unas oposiciones exclusivas que consten solo de un concurso de méritos para «estabilizar» sus plazas.",142.0,57.0,24.0,0.0,9.0,0.0,52.0,75.0,/story.php?story_fbid=10158930928524896&id=7377874895,9.0,29.333333333333332,2.0,yes
2019-05-15 00:50:00+00:00,10158930988694896,ABC.es,"Las baterías de los «smartphones», que utilizan la tecnología de iones de litio, están integradas en el terminal. Por ello, es conveniente realizar ciertas prácticas para que la pila aguante lo máximo posible.",5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,/story.php?story_fbid=10158930988694896&id=7377874895,0.0,0.0,0.0,no
2019-05-15 01:20:00+00:00,10158931035889896,ABC.es,"Para saber si un envase es apto para transportar alimentos debes fijarte en los símbolos que llevan grabados en su base y debes valorar todas sus cualidades, no solo el diseño.",27.0,27.0,0.0,1.0,0.0,0.0,0.0,3.0,/story.php?story_fbid=10158931035889896&id=7377874895,1.0,44.0,1.0,yes
2019-05-15 01:50:00+00:00,10158931077884896,ABC.es,"En la pinctura aparece representada la imagen de la Virgen en un gesto sexual explícito que, tanto para Cs como PP, «sobrepasa los límites de los que pueda ser considerado como libertad de expresión».",1074.0,443.0,97.0,64.0,28.0,33.0,409.0,495.0,/story.php?story_fbid=10158931077884896&id=7377874895,6.0,45.833333333333336,2.0,yes
2019-05-15 02:20:00+00:00,10158931115379896,ABC.es,"A unos padres orensanos le retiraron la custodia de sus cuatro hijos por las penosas condiciones en las que los pequeños estaban. Sin vacunas ni un seguimiento médico, los niños de entre cinco meses y seis años en el momento de los hechos iban semidesnudos y descalzos por la calle.",409.0,187.0,2.0,7.0,33.0,104.0,76.0,48.0,/story.php?story_fbid=10158931115379896&id=7377874895,10.0,24.5,2.0,yes
2019-05-15 02:50:00+00:00,10158931154049896,ABC.es,Una investigación en ratones ha demostrado que el consumo del aditivo E171 tiene un impacto en la microbiota intestinal.,417.0,130.0,4.0,2.0,187.0,12.0,82.0,86.0,/story.php?story_fbid=10158931154049896&id=7377874895,8.0,27.25,2.0,yes
2019-05-15 03:01:00+00:00,2754737767875411,eldiario.es,"Los detalles aún se están ultimando, pero en la Cámara Baja ya se asume que PSOE y Unidas Podemos unirán fuerzas para sumar una mayoría que les permita controlar la Mesa del Congreso. Y esto allana el camino a la fórmula de Gobierno futuro.",181.0,153.0,2.0,25.0,1.0,0.0,0.0,18.0,/story.php?story_fbid=2754737767875411&id=417471918268686,6.0,25.666666666666668,2.0,yes
2019-05-15 03:20:00+00:00,10158931190614896,ABC.es,"Buena parte del pueblo rechazaba las novedades y mostraba cierta xenofobia hacia los ministros venidos de fuera como Esquilache, quien, por cierto, no ayudó con un comportamiento excesivo y un enriquecimiento no siempre justificado por su sueldo.",20.0,17.0,0.0,1.0,2.0,0.0,0.0,1.0,/story.php?story_fbid=10158931190614896&id=7377874895,0.0,0.0,0.0,no
2019-05-15 03:25:00+00:00,2754735374542317,eldiario.es,El puesto de Suárez Illana: ¿en la mesa o bajo la mesa del Congreso? Esta es la viñeta de Vergara dibujante.,43.0,21.0,21.0,1.0,0.0,0.0,0.0,4.0,/story.php?story_fbid=2754735374542317&id=417471918268686,3.0,25.333333333333332,1.0,yes
2019-05-15 03:50:00+00:00,10158931241989896,ABC.es,El Ayuntamiento de la capital asegura estar «desbordado» y que asume tareas de acogida por la «dejadez» del Ejecutivo de Sánchez.,254.0,54.0,150.0,1.0,11.0,1.0,37.0,122.0,/story.php?story_fbid=10158931241989896&id=7377874895,2.0,46.5,2.0,yes
2019-05-15 03:50:00+00:00,2754776051204916,eldiario.es,"Dos becarios apuntan a que la ONG en la que denuncian que sufrieron abusos sexuales destruyó documentación que antes enviaron al presunto agresor: el expolítico del PP Rodrigo de Santos, ahora procesado por violar siete veces a un preso.",140.0,28.0,3.0,0.0,3.0,2.0,104.0,24.0,/story.php?story_fbid=2754776051204916&id=417471918268686,6.0,36.5,2.0,yes
2019-05-15 04:10:00+00:00,2754779711204550,eldiario.es,"Mayoría absoluta de la izquierda, con Ángel Gabilondo del PSOE a la cabeza, en la Comunidad de Madrid. Esta encuesta se suma a lo pronosticado por el CIS hace unos días. Igual que en la capital, donde Carmena revalida el cargo.",625.0,502.0,10.0,111.0,1.0,2.0,1.0,91.0,/story.php?story_fbid=2754779711204550&id=417471918268686,7.0,30.571428571428573,1.0,yes
2019-05-15 04:11:02+00:00,10158931268749896,ABC.es,"Está en prisión por amputarle el miembro a su compañero de piso. Se llama Aarón Jonás B. M., tiene 29 años -cumplirá los 30 el 16 de junio-, lleva dos meses en prisión por haberle cortado el pene a su compañero de piso y ahora es su propia familia la que ha buscado -y conseguido- protegerse de él.",18.0,4.0,0.0,1.0,12.0,1.0,0.0,4.0,/story.php?story_fbid=10158931268749896&id=7377874895,3.0,36.0,1.0,yes
2019-05-15 04:20:00+00:00,10158931294379896,ABC.es," Otro Gobierno del PSOE, otra retirada  ",352.0,110.0,28.0,8.0,15.0,7.0,184.0,171.0,/ABCes/photos/a.10150849142504896/10158931294379896,0.0,0.0,0.0,no
2019-05-15 04:30:00+00:00,2754821027867085,eldiario.es,"✍🏽 OPINIÓN | ""Si el problema es de convivencia, ejemplificar en la Mesa del Congreso la política de bloques, de nosotros y ellos, no parece el mejor comienzo ni el mejor camino"", escribe Antón Losada.",76.0,71.0,1.0,0.0,0.0,4.0,0.0,15.0,/story.php?story_fbid=2754821027867085&id=417471918268686,1.0,46.0,1.0,yes
2019-05-15 04:35:00+00:00,10158931315864896,ABC.es,"El Grupo de Homicidios de la Policía Nacional se ha hecho cargo de la investigación del caso. El cadáver habría sido encontrado envuelto en dos bolsas de plástico, atadas entre sí con cinta americana negra.",35.0,5.0,0.0,0.0,8.0,9.0,13.0,3.0,/story.php?story_fbid=10158931315864896&id=7377874895,0.0,0.0,0.0,no
2019-05-15 04:50:01+00:00,10158931342744896,ABC.es,"Otros 5.000 genes han sido descubiertos, lo que ayudará a mejorar el cultivo y la calidad de la hortaliza.",52.0,42.0,0.0,7.0,3.0,0.0,0.0,15.0,/story.php?story_fbid=10158931342744896&id=7377874895,2.0,38.0,1.0,yes
2019-05-15 04:55:00+00:00,2754854337863754,eldiario.es,"✅ ¿Deberían los políticos tomar medidas más estrictas para restringir el uso de contratos de trabajo temporales?  ✅¿Debería la UE gastar más dinero para apoyar a los pequeños agricultores? Calculamos a qué político europeo y español te pareces más, y con qué partido compartes más afinidad. ¡Prueba!",9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,/story.php?story_fbid=2754854337863754&id=417471918268686,0.0,0.0,0.0,no
2019-05-15 05:05:00+00:00,10158931365454896,ABC.es,"Trump medita una respuesta a esta maniobra, mientras Moncloa le quita trascendencia.",238.0,46.0,34.0,14.0,9.0,2.0,133.0,91.0,/story.php?story_fbid=10158931365454896&id=7377874895,3.0,36.333333333333336,1.0,yes
